ID,Area,Pergunta,Autor,DataPergunta,Status,Resposta,RespondidoPor,DataResposta
FLOW-0001,admin,O aplicativo Flow está instável ou travando. O que fazer antes de acionar o suporte?,,2026-07-01,Respondida,"Verifique se há uma atualização pendente na loja de aplicativos e instale — isso resolve boa parte dos casos de instabilidade. Se persistir, feche e abra o app novamente antes de abrir chamado.",Equipe Flow,2026-07-01
FLOW-0002,admin,Um usuário esqueceu a senha. Como resetar?,,2026-07-01,Respondida,Na própria tela de login existe a opção de redefinir senha — não é necessário acionar o suporte para isso.,Equipe Flow,2026-07-01
FLOW-0003,admin,Um usuário perdeu acesso a uma sala/unidade que deveria enxergar. Como resolver?,,2026-07-01,Respondida,Acione o suporte informando o nome do usuário e a sala correta; normalmente é um ajuste de vínculo no cadastro dele.,Equipe Flow,2026-07-01
FLOW-0004,admin,Houve uma instabilidade geral no sistema (Flow ou apps integrados). Como proceder com os atendimentos em andamento?,,2026-07-01,Respondida,"Em instabilidades confirmadas, a central pode autorizar a liberação dos casais — registre e envie a relação de clientes liberados (unidade e VGV) para regularização assim que o sistema normalizar.",Equipe Flow,2026-07-01
FLOW-0005,admin,Uma função que existia sumiu do aplicativo (ex: opção de reprocessar/editar cota). O que verificar primeiro?,,2026-07-01,Respondida,Confirme se o app está na versão mais recente antes de reportar — o sumiço de botões costuma estar relacionado a uma atualização pendente de instalar.,Equipe Flow,2026-07-01
FLOW-0006,captador,"O captador ficou sem celular, bateria ou internet no momento da captação. Pode lançar por fora do Flow?",,2026-07-01,Respondida,"Sim. Nesses casos, faça o cadastro manual e, assim que possível, replique o atendimento no fluxo normal do Flow.",Equipe Flow,2026-07-01
FLOW-0007,captador,Uma ficha antiga continua aparecendo no histórico e não consigo encerrá-la. O que fazer?,,2026-07-01,Respondida,Reporte ao suporte com o ID do casal — normalmente é uma ficha travada que precisa de intervenção manual para ser encerrada.,Equipe Flow,2026-07-01
FLOW-0008,captador,Um casal comprou em outra sala há mais de 30 dias (venda online/beback). Como registrar essa venda?,,2026-07-01,Respondida,Solicite ao Gerente de Captação a abertura de uma ficha nova para esse caso.,Equipe Flow,2026-07-01
FLOW-0009,recepcionista,As fichas do dia não aparecem na minha lista de atendimentos. O que verificar?,,2026-07-01,Respondida,Confira o filtro de data na lista de atendimentos — geralmente basta selecionar a data de hoje para elas aparecerem.,Equipe Flow,2026-07-01
FLOW-0010,recepcionista,"Um casal retornou em outro dia e fechou a compra, mas o atendimento antigo está encerrado como No Tour. Como retomar?",,2026-07-01,Respondida,Reporte o ID do atendimento ao suporte para reabertura — atendimentos No Tour não reabrem automaticamente pela recepção.,Equipe Flow,2026-07-01
FLOW-0011,recepcionista,Uma ficha 'sumiu' do Flow depois que a venda foi concluída. Onde encontrar?,,2026-07-01,Respondida,"Verifique o Histórico — na maioria dos casos o atendimento só avançou para a etapa de Documentação, e não foi perdido.",Equipe Flow,2026-07-01
FLOW-0012,recepcionista,A renda informada pelo casal aparece diferente do que foi digitado na recepção. O que fazer?,,2026-07-01,Respondida,Reporte o ID do atendimento ao suporte para verificar o valor originalmente preenchido antes de qualquer alteração.,Equipe Flow,2026-07-01
FLOW-0013,gerente-captacao,Um atendimento foi qualificado (Q/NQ) incorretamente. Dá para corrigir?,,2026-07-01,Respondida,Sim — reporte o ID do atendimento ao suporte informando a qualificação correta para o ajuste.,Equipe Flow,2026-07-01
FLOW-0014,gerente-captacao,"Atendimentos NQ deveriam cair na autorização do gerente, mas estão indo direto para a recepção. O que fazer?",,2026-07-01,Respondida,"Esse é o comportamento esperado da regra (todo item NQ deveria passar pela autorização do gerente). Se não estiver acontecendo, reporte ao suporte — pode ser uma atualização pendente.",Equipe Flow,2026-07-01
FLOW-0015,gerente-captacao,Existe alguma regra para casais que desistiram e depois retornam para comprar com o mesmo consultor?,,2026-07-01,Respondida,"Sim, esses atendimentos podem ser reabertos em alguns casos. Consulte o suporte para confirmar o procedimento, pois envolve validação da equipe.",Equipe Flow,2026-07-01
FLOW-0016,gerente-sala,A venda foi lançada com o Liner ou Closer errado. Dá para corrigir?,,2026-07-01,Respondida,"Sim. Dentro da etapa de Apresentação o Liner pode ser trocado quantas vezes for necessário, e dentro da Negociação o Closer também pode ser trocado livremente.",Equipe Flow,2026-07-01
FLOW-0017,gerente-sala,Um atendimento foi encerrado com o motivo errado (ex: casal indisponível em vez de apresentação incompleta). Dá para reverter?,,2026-07-01,Respondida,"Depende da etapa: se o consultor já foi atribuído, alguns motivos não podem mais ser escolhidos. Informe o ID ao suporte para avaliar se ainda é possível corrigir.",Equipe Flow,2026-07-01
FLOW-0018,gerente-sala,"Em uma mesa com casal duplo, a venda foi lançada na ficha do casal errado. Como corrigir?",,2026-07-01,Respondida,Reporte o ID e a etapa atual ao suporte — a correção depende de quais etapas o atendimento já passou.,Equipe Flow,2026-07-01
FLOW-0019,gerente-sala,"Uma cota foi reservada, mas a unidade já havia sido vendida por outro canal. O que fazer?",,2026-07-01,Respondida,"Informe imediatamente ao suporte o empreendimento, a unidade e o valor, para verificar uma unidade equivalente disponível.",Equipe Flow,2026-07-01
FLOW-0020,liner,O aplicativo de uma consultora Liner está direcionando ela direto para a etapa de Closer. Por quê?,,2026-07-01,Respondida,"Pode ser um problema pontual de perfil. Informe o ID do casal e o nome da consultora ao suporte, se possível com um vídeo do problema, para investigação.",Equipe Flow,2026-07-01
FLOW-0021,liner,"A ficha foi iniciada pelo Closer em vez do Liner, por engano. Dá para corrigir?",,2026-07-01,Respondida,Depende da etapa atual do atendimento — informe o ID e a etapa ao suporte para avaliar a correção.,Equipe Flow,2026-07-01
FLOW-0022,liner,O sistema mostra uma qualificação ou histórico de apresentação que não bate com o que o casal informou. O que fazer?,,2026-07-01,Respondida,Reporte o ID do casal ao suporte — pode ser necessário validar o histórico de apresentações anteriores na base.,Equipe Flow,2026-07-01
FLOW-0023,closer,A cota que eu reservei não aparece mais para negociar. O que houve?,,2026-07-01,Respondida,"Cotas reservadas por engano podem ser excluídas pelo próprio usuário para liberar a unidade novamente, sem precisar acionar o suporte.",Equipe Flow,2026-07-01
FLOW-0024,closer,"Depois que a venda passa de Negociando para Documentação, por quanto tempo a cota fica garantida?",,2026-07-01,Respondida,"A cota fica reservada por 24 horas nessa transição, então há tempo hábil para os próximos passos sem risco de perder a unidade.",Equipe Flow,2026-07-01
FLOW-0025,closer,"O sistema diz que o tempo de negociação expirou, mas ainda deveria haver tempo disponível. O que fazer?",,2026-07-01,Respondida,Reporte ao suporte com o ID do atendimento — pode ser uma inconsistência pontual de prazos entre sistemas.,Equipe Flow,2026-07-01
FLOW-0026,closer,Posso lançar a venda direto no sistema comercial se o Flow estiver com problema?,,2026-07-01,Respondida,Evite. Sempre que possível resolva pela própria tela do Flow (ex: excluindo uma cota reservada errada). Lançar por fora deve ser último recurso e comunicado ao suporte.,Equipe Flow,2026-07-01
FLOW-0027,revisor,Uma venda foi cancelada após a revisão porque o cliente desistiu. Como cancelar no Flow?,,2026-07-01,Respondida,Devolva o atendimento para a etapa de Documentação e solicite ao Gerente de Sala que faça o encerramento.,Equipe Flow,2026-07-01
FLOW-0028,revisor,"Um dado foi corrigido na revisão, mas não refletiu no contrato gerado. O que fazer?",,2026-07-01,Respondida,"Atualize a tela e tente reenviar pelo Flow — costuma resolver. Se persistir, reporte com o ID do atendimento.",Equipe Flow,2026-07-01
